X,Y,CMA
-47.00855,-7.958,50.1775550842285
-47.00855,-7.95685,49.2740859985352
-47.00855,-7.9557,48.2821159362793
-47.00855,-7.95455,47.1285858154297
-47.00855,-7.9534,45.8998641967773
-47.00855,-7.95225,44.9761047363281
-47.00855,-7.9511,44.6301002502441
-47.00855,-7.94995,44.646728515625
-47.00855,-7.9488,44.6478309631348
-47.00855,-7.94765,44.4935874938965
-47.00855,-7.9465,44.2819366455078
-47.00855,-7.94535,44.1498565673828
-47.00855,-7.9442,44.159294128418
-47.00855,-7.94305,44.327220916748
-47.00855,-7.9419,44.6549835205078
-47.00855,-7.94075,45.0741691589355
-47.00855,-7.9396,45.4909400939941
-47.00855,-7.93845,45.9594764709473
-47.00855,-7.9373,46.6318778991699
-47.00855,-7.93615,47.4911804199219
-47.00855,-7.935,48.3966407775879
-47.00855,-7.93385,49.2752151489258
-47.00855,-7.9327,50.087345123291
-47.0074,-8.2317,17.5091590881348
-47.0074,-8.23055,17.7632751464844
-47.0074,-8.2294,18.0146827697754
-47.0074,-8.22825,18.2726154327393
-47.0074,-8.2271,18.5306625366211
-47.0074,-8.22595,18.759428024292
-47.0074,-8.2248,18.9409580230713
-47.0074,-8.22365,19.0767993927002
-47.0074,-8.2225,19.1819133758545
-47.0074,-8.22135,19.2759552001953
-47.0074,-8.2202,19.3707332611084
-47.0074,-8.21905,19.4610805511475
-47.0074,-8.2179,19.5615177154541
-47.0074,-8.21675,19.689266204834
-47.0074,-8.2156,19.8156337738037
-47.0074,-8.21445,19.9015274047852
-47.0074,-8.2133,19.9494686126709
-47.0074,-8.21215,20.0131187438965
-47.0074,-8.211,20.1157722473145
-47.0074,-8.20985,20.2008056640625
-47.0074,-8.2087,20.255615234375
-47.0074,-8.20755,20.3798522949219
-47.0074,-8.2064,20.6396446228027
-47.0074,-8.20525,20.9565906524658
-47.0074,-8.2041,21.2449645996094
-47.0074,-8.20295,21.507417678833
-47.0074,-8.2018,21.8023166656494
-47.0074,-8.20065,22.2040977478027
-47.0074,-8.1995,22.7167263031006
-47.0074,-8.19835,23.2096214294434
-47.0074,-8.1972,23.6386089324951
-47.0074,-8.19605,24.0814094543457
-47.0074,-8.1949,24.5487957000732
-47.0074,-8.19375,25.0009441375732
-47.0074,-8.1926,25.3933811187744
-47.0074,-8.19145,25.7423210144043
-47.0074,-8.1903,26.0940895080566
-47.0074,-8.18915,26.4297733306885
-47.0074,-8.188,26.7210445404053
-47.0074,-8.18685,27.018461227417
-47.0074,-8.1857,27.3566188812256
-47.0074,-8.18455,27.6712303161621
-47.0074,-8.1834,27.9782028198242
-47.0074,-8.18225,28.317943572998
-47.0074,-8.1811,28.6645774841309
-47.0074,-8.17995,29.0058250427246
-47.0074,-8.1788,29.3629970550537
-47.0074,-8.17765,29.7286949157715
-47.0074,-8.1765,30.0552253723145
-47.0074,-8.17535,30.3215446472168
-47.0074,-8.1742,30.5608196258545
-47.0074,-8.17305,30.8072109222412
-47.0074,-8.1719,31.0669136047363
-47.0074,-8.17075,31.3358268737793
-47.0074,-8.1696,31.5905475616455
-47.0074,-8.16845,31.8125591278076
-47.0074,-8.1673,32.0013618469238
-47.0074,-8.16615,32.145092010498
-47.0074,-8.165,32.2328033447266
-47.0074,-8.16385,32.2547988891602
-47.0074,-8.1627,32.1843795776367
-47.0074,-8.16155,32.007453918457
-47.0074,-8.1604,31.7046184539795
-47.0074,-8.15925,31.291353225708
-47.0074,-8.1581,30.8280792236328
-47.0074,-8.15695,30.3402633666992
-47.0074,-8.1558,29.7884693145752
-47.0074,-8.15465,29.1171855926514
-47.0074,-8.1535,28.3056373596191
